Rent,Size,BHK,Bathroom,Furnishing Status,City
80000,1100,3,3,Unfurnished,Mumbai
80000,1110,3,3,Semi-Furnished,Mumbai
55000,999,3,2,Semi-Furnished,Mumbai
100000,1000,3,3,Furnished,Mumbai
200000,2200,4,5,Semi-Furnished,Mumbai
100000,1256,3,3,Furnished,Mumbai
79500,750,2,2,Semi-Furnished,Mumbai
84500,889,3,2,Semi-Furnished,Mumbai
100000,750,2,2,Semi-Furnished,Mumbai
13000,385,1,1,Unfurnished,Mumbai
100000,1454,4,4,Unfurnished,Mumbai
35000,480,1,2,Semi-Furnished,Mumbai
72000,660,2,2,Semi-Furnished,Mumbai
180000,1600,3,3,Furnished,Mumbai
26000,434,1,2,Semi-Furnished,Mumbai
72000,1121,3,3,Unfurnished,Mumbai
8000,620,1,2,Semi-Furnished,Mumbai
130000,937,3,2,Furnished,Mumbai
52000,470,1,2,Semi-Furnished,Mumbai
13000,410,1,1,Unfurnished,Mumbai
45000,850,3,3,Unfurnished,Mumbai
180000,1500,3,4,Furnished,Mumbai
63000,888,2,2,Furnished,Mumbai
7500,380,1,2,Unfurnished,Mumbai
30000,360,1,1,Unfurnished,Mumbai
28500,565,1,2,Furnished,Mumbai
100000,2000,3,4,Semi-Furnished,Mumbai
270000,1358,4,4,Semi-Furnished,Mumbai
38000,661,2,2,Semi-Furnished,Mumbai
26000,450,1,2,Unfurnished,Mumbai
70000,1300,3,3,Unfurnished,Mumbai
41000,600,2,2,Furnished,Mumbai
27000,900,2,3,Semi-Furnished,Mumbai
53000,379,1,1,Semi-Furnished,Mumbai
65000,805,2,3,Semi-Furnished,Mumbai
85000,650,1,2,Furnished,Mumbai
6000,500,1,2,Semi-Furnished,Mumbai
43000,480,1,2,Furnished,Mumbai
65000,550,2,2,Semi-Furnished,Mumbai
280000,1600,3,3,Furnished,Mumbai
98000,1400,3,2,Semi-Furnished,Mumbai
330000,1500,3,2,Semi-Furnished,Mumbai
65000,1050,3,3,Unfurnished,Mumbai
85000,920,3,3,Unfurnished,Mumbai
40000,450,1,1,Semi-Furnished,Mumbai
23000,440,1,1,Semi-Furnished,Mumbai
55000,932,3,3,Unfurnished,Mumbai
15000,270,1,2,Unfurnished,Mumbai
52000,379,1,2,Semi-Furnished,Mumbai
13000,582,2,2,Furnished,Mumbai
95000,800,2,2,Semi-Furnished,Mumbai
25000,444,1,2,Unfurnished,Mumbai
21000,428,1,1,Unfurnished,Mumbai
360000,1880,5,4,Furnished,Mumbai
60000,888,2,2,Semi-Furnished,Mumbai
19000,490,1,1,Unfurnished,Mumbai
140000,937,3,4,Unfurnished,Mumbai
30000,710,2,2,Unfurnished,Mumbai
130000,1617,4,5,Semi-Furnished,Mumbai
80000,836,2,2,Unfurnished,Mumbai
85000,1200,2,3,Semi-Furnished,Mumbai
65000,950,2,2,Furnished,Mumbai
33000,460,1,2,Semi-Furnished,Mumbai
36000,585,1,2,Semi-Furnished,Mumbai
22000,550,2,2,Furnished,Mumbai
17000,375,1,1,Unfurnished,Mumbai
55000,700,2,2,Furnished,Mumbai
66000,750,2,2,Unfurnished,Mumbai
140000,2000,4,4,Furnished,Mumbai
260000,2046,4,5,Semi-Furnished,Mumbai
32000,750,2,2,Semi-Furnished,Mumbai
45000,730,2,2,Unfurnished,Mumbai
50000,750,2,2,Semi-Furnished,Mumbai
18500,229,1,1,Semi-Furnished,Mumbai
51000,910,2,2,Unfurnished,Mumbai
140000,1648,4,5,Semi-Furnished,Mumbai
80000,1100,3,3,Unfurnished,Mumbai
30000,560,1,2,Unfurnished,Mumbai
85000,850,2,2,Unfurnished,Mumbai
15000,450,1,1,Unfurnished,Mumbai
50000,820,2,2,Semi-Furnished,Mumbai
60000,750,2,2,Unfurnished,Mumbai
23000,410,1,1,Unfurnished,Mumbai
14500,490,1,2,Unfurnished,Mumbai
40000,700,2,2,Unfurnished,Mumbai
650000,3000,5,5,Semi-Furnished,Mumbai
80000,560,1,1,Furnished,Mumbai
55000,650,2,2,Unfurnished,Mumbai
12000,520,1,1,Semi-Furnished,Mumbai
45000,850,2,2,Unfurnished,Mumbai
90000,777,2,2,Furnished,Mumbai
43000,771,2,2,Unfurnished,Mumbai
22000,400,1,1,Unfurnished,Mumbai
20000,600,2,2,Furnished,Mumbai
26000,390,1,2,Semi-Furnished,Mumbai
850000,3200,4,4,Furnished,Mumbai
34999,450,1,2,Furnished,Mumbai
35000,500,1,2,Semi-Furnished,Mumbai
50000,410,1,1,Semi-Furnished,Mumbai
16000,160,1,1,Unfurnished,Mumbai
55000,750,2,2,Unfurnished,Mumbai
39000,585,1,2,Unfurnished,Mumbai
100000,1300,3,3,Semi-Furnished,Mumbai
25000,350,1,1,Furnished,Mumbai
25000,490,1,2,Semi-Furnished,Mumbai
49500,650,2,2,Unfurnished,Mumbai
21000,225,1,1,Unfurnished,Mumbai
110000,850,2,2,Semi-Furnished,Mumbai
21000,385,1,1,Unfurnished,Mumbai
46700,800,2,2,Unfurnished,Mumbai
400000,2500,4,4,Furnished,Mumbai
280000,1526,4,5,Semi-Furnished,Mumbai
18000,300,1,1,Unfurnished,Mumbai
80000,1800,3,3,Semi-Furnished,Mumbai
88000,800,2,2,Semi-Furnished,Mumbai
90000,890,3,2,Furnished,Mumbai
38000,700,2,2,Unfurnished,Mumbai
20000,465,1,1,Semi-Furnished,Mumbai
140000,900,2,2,Furnished,Mumbai
78000,1073,3,3,Semi-Furnished,Mumbai
21000,450,1,1,Unfurnished,Mumbai
95000,1350,3,3,Furnished,Mumbai
90000,800,2,2,Furnished,Mumbai
34000,600,2,2,Unfurnished,Mumbai
55000,650,2,2,Unfurnished,Mumbai
52000,550,2,2,Furnished,Mumbai
74999,840,1,2,Unfurnished,Mumbai
75000,1121,3,2,Furnished,Mumbai
45000,650,2,2,Unfurnished,Mumbai
22000,575,1,1,Unfurnished,Mumbai
32000,475,1,1,Furnished,Mumbai
34000,830,2,2,Semi-Furnished,Mumbai
170000,1337,3,3,Semi-Furnished,Mumbai
23000,420,1,2,Semi-Furnished,Mumbai
20000,310,1,1,Unfurnished,Mumbai
350000,1800,3,4,Furnished,Mumbai
90000,967,3,3,Furnished,Mumbai
55000,505,1,1,Semi-Furnished,Mumbai
15000,275,1,1,Unfurnished,Mumbai
22000,640,2,2,Semi-Furnished,Mumbai
60000,1500,3,3,Semi-Furnished,Mumbai
49000,850,2,2,Semi-Furnished,Mumbai
34000,900,2,2,Semi-Furnished,Mumbai
24000,430,1,2,Furnished,Mumbai
270000,1649,4,3,Semi-Furnished,Mumbai
69000,1100,3,3,Unfurnished,Mumbai
120000,1200,3,3,Semi-Furnished,Mumbai
32000,680,2,2,Unfurnished,Mumbai
24000,600,2,2,Semi-Furnished,Mumbai
100000,1560,4,4,Unfurnished,Mumbai
600000,4500,5,5,Furnished,Mumbai
45000,771,2,2,Unfurnished,Mumbai
80000,800,2,2,Semi-Furnished,Mumbai
37000,800,2,2,Semi-Furnished,Mumbai
210000,1425,3,4,Furnished,Mumbai
190000,1750,4,4,Semi-Furnished,Mumbai
25000,475,1,2,Unfurnished,Mumbai
210000,2000,4,5,Unfurnished,Mumbai
200000,1375,3,3,Semi-Furnished,Mumbai
310000,2800,5,5,Semi-Furnished,Mumbai
26000,650,1,1,Semi-Furnished,Mumbai
27000,600,2,2,Unfurnished,Mumbai
26000,649,1,1,Unfurnished,Mumbai
60000,950,2,2,Furnished,Mumbai
12000,225,1,1,Unfurnished,Mumbai
180000,1000,2,2,Furnished,Mumbai
30000,330,1,1,Furnished,Mumbai
100000,1200,3,3,Furnished,Mumbai
140000,1270,3,3,Semi-Furnished,Mumbai
70000,920,3,3,Unfurnished,Mumbai
20000,630,2,2,Unfurnished,Mumbai
22000,670,2,2,Furnished,Mumbai
32000,450,1,1,Furnished,Mumbai
20000,265,1,1,Unfurnished,Mumbai
50000,600,2,2,Semi-Furnished,Mumbai
29000,670,2,2,Unfurnished,Mumbai
45000,650,2,2,Semi-Furnished,Mumbai
6500,422,1,2,Semi-Furnished,Mumbai
55000,955,2,2,Unfurnished,Mumbai
69999,1100,3,3,Furnished,Mumbai
18500,300,1,1,Unfurnished,Mumbai
50000,900,2,2,Semi-Furnished,Mumbai
45000,785,2,2,Unfurnished,Mumbai
85000,1350,3,3,Furnished,Mumbai
85000,900,2,2,Semi-Furnished,Mumbai
25000,400,1,1,Unfurnished,Mumbai
75000,800,2,3,Semi-Furnished,Mumbai
190000,895,2,2,Semi-Furnished,Mumbai
20000,625,1,1,Semi-Furnished,Mumbai
30000,720,2,2,Semi-Furnished,Mumbai
75000,750,2,2,Furnished,Mumbai
350000,1663,3,2,Semi-Furnished,Mumbai
70000,660,2,2,Semi-Furnished,Mumbai
32000,700,2,2,Furnished,Mumbai
22000,377,1,2,Unfurnished,Mumbai
35000,650,2,2,Semi-Furnished,Mumbai
47000,650,2,2,Unfurnished,Mumbai
400000,2080,4,5,Semi-Furnished,Mumbai
31000,700,2,2,Semi-Furnished,Mumbai
60000,430,1,1,Furnished,Mumbai
58000,650,2,2,Unfurnished,Mumbai
85000,890,3,2,Furnished,Mumbai
45000,965,2,2,Unfurnished,Mumbai
7500,630,1,2,Semi-Furnished,Mumbai
250000,2100,4,4,Semi-Furnished,Mumbai
150000,1100,3,3,Furnished,Mumbai
80000,730,2,2,Semi-Furnished,Mumbai
75000,1380,3,3,Semi-Furnished,Mumbai
66000,1100,3,3,Semi-Furnished,Mumbai
45000,450,1,1,Semi-Furnished,Mumbai
22000,500,1,1,Unfurnished,Mumbai
65000,1100,3,3,Semi-Furnished,Mumbai
55000,868,3,3,Unfurnished,Mumbai
55000,750,2,2,Semi-Furnished,Mumbai
36000,540,1,2,Unfurnished,Mumbai
230000,2100,4,5,Furnished,Mumbai
22000,450,1,2,Semi-Furnished,Mumbai
170000,1600,3,4,Semi-Furnished,Mumbai
34000,560,1,2,Semi-Furnished,Mumbai
45000,500,1,1,Unfurnished,Mumbai
14000,305,1,1,Unfurnished,Mumbai
75000,970,3,2,Furnished,Mumbai
7000,480,1,1,Unfurnished,Mumbai
55000,720,2,2,Semi-Furnished,Mumbai
55000,950,2,2,Semi-Furnished,Mumbai
700000,3200,4,4,Furnished,Mumbai
140000,1450,3,3,Furnished,Mumbai
42000,774,2,2,Semi-Furnished,Mumbai
27000,450,1,1,Unfurnished,Mumbai
60000,1000,3,3,Semi-Furnished,Mumbai
17000,340,1,1,Semi-Furnished,Mumbai
30000,430,1,2,Semi-Furnished,Mumbai
45000,722,2,2,Unfurnished,Mumbai
90000,1152,3,2,Furnished,Mumbai
25000,641,1,1,Unfurnished,Mumbai
70000,810,2,2,Furnished,Mumbai
90000,800,2,2,Furnished,Mumbai
110000,875,2,2,Unfurnished,Mumbai
20000,700,2,2,Unfurnished,Mumbai
35000,420,1,1,Semi-Furnished,Mumbai
80000,1400,3,3,Furnished,Mumbai
54500,758,2,2,Semi-Furnished,Mumbai
350000,2880,4,5,Unfurnished,Mumbai
45000,480,1,2,Furnished,Mumbai
38000,550,1,2,Unfurnished,Mumbai
90000,900,2,2,Semi-Furnished,Mumbai
22000,400,1,1,Unfurnished,Mumbai
70000,760,2,2,Semi-Furnished,Mumbai
380000,2800,4,5,Unfurnished,Mumbai
50000,400,1,1,Semi-Furnished,Mumbai
680000,1962,4,5,Semi-Furnished,Mumbai
140000,1100,3,3,Semi-Furnished,Mumbai
40000,800,2,2,Semi-Furnished,Mumbai
32000,590,2,2,Unfurnished,Mumbai
78000,600,2,2,Semi-Furnished,Mumbai
280000,2500,4,6,Semi-Furnished,Mumbai
45000,670,2,2,Unfurnished,Mumbai
65000,960,2,2,Semi-Furnished,Mumbai
65000,1500,2,3,Semi-Furnished,Mumbai
35000,500,1,1,Semi-Furnished,Mumbai
90000,1120,3,2,Furnished,Mumbai
250000,2729,4,5,Semi-Furnished,Mumbai
70000,3354,3,3,Furnished,Bangalore
10500,800,2,2,Semi-Furnished,Bangalore
13000,1000,2,2,Semi-Furnished,Bangalore
17000,1040,2,2,Furnished,Bangalore
21000,1403,3,3,Semi-Furnished,Bangalore
10000,600,2,1,Furnished,Bangalore
61500,2608,4,3,Semi-Furnished,Bangalore
13000,850,2,2,Semi-Furnished,Bangalore
7500,400,1,1,Unfurnished,Bangalore
17000,1000,2,2,Semi-Furnished,Bangalore
25000,1350,3,3,Semi-Furnished,Bangalore
10500,800,2,2,Semi-Furnished,Bangalore
8000,350,1,1,Semi-Furnished,Bangalore
9500,900,1,1,Semi-Furnished,Bangalore
50000,2000,3,3,Semi-Furnished,Bangalore
13000,700,2,2,Semi-Furnished,Bangalore
13500,600,1,1,Semi-Furnished,Bangalore
13000,700,2,1,Semi-Furnished,Bangalore
15000,600,1,1,Semi-Furnished,Bangalore
15000,1400,2,3,Furnished,Bangalore
7000,600,1,1,Unfurnished,Bangalore
25000,770,2,2,Furnished,Bangalore
17000,900,2,2,Semi-Furnished,Bangalore
7500,500,1,1,Furnished,Bangalore
15000,1100,2,2,Unfurnished,Bangalore
7500,500,1,1,Semi-Furnished,Bangalore
25000,1260,3,3,Furnished,Bangalore
54000,1750,3,3,Semi-Furnished,Bangalore
14500,600,1,1,Semi-Furnished,Bangalore
4500,450,1,1,Semi-Furnished,Bangalore
10500,800,2,1,Semi-Furnished,Bangalore
5500,400,1,1,Unfurnished,Bangalore
16000,600,2,2,Unfurnished,Bangalore
7000,400,1,1,Unfurnished,Bangalore
12500,900,2,2,Furnished,Bangalore
10000,1200,2,1,Semi-Furnished,Bangalore
18000,1045,2,2,Semi-Furnished,Bangalore
28000,1021,3,3,Furnished,Bangalore
12000,1200,3,2,Unfurnished,Bangalore
13000,1000,2,1,Unfurnished,Bangalore
50000,1280,2,2,Furnished,Bangalore
7000,450,1,1,Semi-Furnished,Bangalore
30000,450,2,2,Unfurnished,Bangalore
10000,600,1,2,Semi-Furnished,Bangalore
15000,800,2,2,Semi-Furnished,Bangalore
7500,500,1,1,Unfurnished,Bangalore
45000,1680,3,3,Semi-Furnished,Bangalore
65000,2000,3,3,Semi-Furnished,Bangalore
12000,500,1,1,Semi-Furnished,Bangalore
7000,500,1,1,Semi-Furnished,Bangalore
9000,800,1,1,Unfurnished,Bangalore
23000,1100,2,2,Semi-Furnished,Bangalore
30000,1200,2,2,Semi-Furnished,Bangalore
8000,500,1,1,Unfurnished,Bangalore
16000,1155,2,2,Semi-Furnished,Bangalore
7500,440,1,1,Semi-Furnished,Bangalore
20000,1040,2,2,Semi-Furnished,Bangalore
110000,2900,4,4,Furnished,Bangalore
30000,1200,3,2,Semi-Furnished,Bangalore
20000,1600,3,3,Semi-Furnished,Bangalore
84000,3150,4,4,Unfurnished,Bangalore
17000,1000,2,2,Semi-Furnished,Bangalore
15000,1200,2,2,Semi-Furnished,Bangalore
6000,400,1,1,Semi-Furnished,Bangalore
16000,950,2,3,Furnished,Bangalore
9500,530,2,1,Semi-Furnished,Bangalore
8000,300,1,1,Unfurnished,Bangalore
15000,1000,2,2,Semi-Furnished,Bangalore
12000,450,1,1,Unfurnished,Bangalore
10000,600,1,1,Semi-Furnished,Bangalore
16000,1100,2,2,Unfurnished,Bangalore
11000,400,1,1,Unfurnished,Bangalore
11000,700,2,2,Unfurnished,Bangalore
20000,1105,2,2,Semi-Furnished,Bangalore
24000,1430,3,2,Semi-Furnished,Bangalore
14500,850,2,2,Semi-Furnished,Bangalore
4000,650,1,1,Unfurnished,Bangalore
12000,1200,2,2,Unfurnished,Bangalore
8500,600,2,2,Unfurnished,Bangalore
9000,400,1,1,Semi-Furnished,Bangalore
180000,2800,4,4,Furnished,Bangalore
10500,1100,2,2,Semi-Furnished,Bangalore
12000,900,2,2,Unfurnished,Bangalore
32000,1300,3,2,Semi-Furnished,Bangalore
15000,1000,2,3,Semi-Furnished,Bangalore
21000,1000,3,3,Furnished,Bangalore
12000,900,2,2,Unfurnished,Bangalore
7000,800,1,1,Unfurnished,Bangalore
15000,750,2,2,Unfurnished,Bangalore
11400,1100,2,2,Unfurnished,Bangalore
15000,1200,2,2,Semi-Furnished,Bangalore
19000,1000,2,2,Semi-Furnished,Bangalore
27000,1000,2,2,Semi-Furnished,Bangalore
48000,2000,3,3,Semi-Furnished,Bangalore
7000,550,1,1,Semi-Furnished,Bangalore
15000,1130,2,2,Unfurnished,Bangalore
10000,600,2,2,Semi-Furnished,Bangalore
7000,100,1,1,Semi-Furnished,Bangalore
9000,500,2,1,Semi-Furnished,Bangalore
8000,600,1,1,Unfurnished,Bangalore
35000,1200,2,2,Semi-Furnished,Bangalore
16000,850,2,2,Semi-Furnished,Bangalore
4500,600,1,1,Unfurnished,Bangalore
16000,600,2,1,Unfurnished,Bangalore
10000,700,2,1,Semi-Furnished,Bangalore
8000,400,1,1,Unfurnished,Bangalore
6000,400,1,1,Semi-Furnished,Bangalore
13000,1000,2,2,Unfurnished,Bangalore
10000,1200,2,2,Semi-Furnished,Bangalore
55000,1603,3,3,Semi-Furnished,Bangalore
15000,1200,3,3,Semi-Furnished,Bangalore
12000,420,1,1,Semi-Furnished,Bangalore
9000,1200,2,2,Semi-Furnished,Bangalore
36000,1771,3,3,Semi-Furnished,Bangalore
37000,1200,3,3,Semi-Furnished,Bangalore
6000,700,2,1,Unfurnished,Bangalore
17000,610,1,1,Semi-Furnished,Bangalore
8000,800,1,1,Unfurnished,Bangalore
7500,550,1,1,Semi-Furnished,Bangalore
9500,750,2,1,Semi-Furnished,Bangalore
13500,700,2,2,Semi-Furnished,Bangalore
9000,600,1,1,Semi-Furnished,Bangalore
7000,360,1,1,Unfurnished,Bangalore
12000,800,2,2,Unfurnished,Bangalore
100000,3700,4,5,Semi-Furnished,Bangalore
12000,1200,2,2,Unfurnished,Bangalore
8500,480,1,1,Furnished,Bangalore
18000,1000,2,2,Semi-Furnished,Bangalore
11000,800,1,1,Semi-Furnished,Bangalore
18000,900,3,2,Furnished,Bangalore
17000,1450,3,3,Semi-Furnished,Bangalore
6500,400,1,1,Unfurnished,Bangalore
11500,700,2,2,Semi-Furnished,Bangalore
22000,1000,2,2,Semi-Furnished,Bangalore
13000,450,1,1,Furnished,Bangalore
20000,773,3,2,Semi-Furnished,Bangalore
10000,1200,2,2,Semi-Furnished,Bangalore
15000,1000,2,2,Unfurnished,Bangalore
8000,150,1,1,Unfurnished,Bangalore
12000,865,2,2,Semi-Furnished,Bangalore
20000,600,1,1,Semi-Furnished,Bangalore
20000,800,2,1,Semi-Furnished,Bangalore
8000,200,1,1,Semi-Furnished,Bangalore
11000,600,1,2,Unfurnished,Bangalore
40000,1840,3,2,Semi-Furnished,Bangalore
10000,800,2,2,Semi-Furnished,Bangalore
30000,1600,3,2,Semi-Furnished,Bangalore
8000,600,2,1,Unfurnished,Bangalore
15000,1100,2,2,Unfurnished,Bangalore
12000,950,2,2,Semi-Furnished,Bangalore
12000,905,2,2,Semi-Furnished,Bangalore
20000,1200,3,2,Semi-Furnished,Bangalore
13000,1000,3,1,Semi-Furnished,Bangalore
17500,1080,2,2,Furnished,Bangalore
8000,600,1,1,Semi-Furnished,Bangalore
8500,1000,2,2,Semi-Furnished,Bangalore
7500,600,1,1,Semi-Furnished,Bangalore
22000,1100,2,2,Semi-Furnished,Bangalore
6000,300,1,1,Unfurnished,Bangalore
32900,1200,2,1,Furnished,Bangalore
15000,800,2,1,Furnished,Bangalore
10000,535,2,1,Unfurnished,Bangalore
10000,800,2,2,Unfurnished,Bangalore
21000,1159,3,2,Unfurnished,Bangalore
63000,2650,4,5,Unfurnished,Bangalore
6900,50,1,1,Semi-Furnished,Bangalore
14000,700,2,1,Unfurnished,Bangalore
14500,550,1,1,Semi-Furnished,Bangalore
6500,700,1,1,Semi-Furnished,Bangalore
13000,600,2,2,Unfurnished,Bangalore
8000,600,2,1,Semi-Furnished,Bangalore
18000,1000,2,1,Semi-Furnished,Bangalore
20000,1100,2,3,Semi-Furnished,Bangalore
14000,750,1,1,Semi-Furnished,Bangalore
50000,2900,4,4,Furnished,Bangalore
14500,990,2,2,Unfurnished,Bangalore
15000,1300,2,2,Furnished,Bangalore
11500,550,1,1,Semi-Furnished,Bangalore
15000,1360,3,2,Semi-Furnished,Bangalore
12000,600,2,2,Semi-Furnished,Bangalore
18000,1200,2,2,Semi-Furnished,Bangalore
15000,1050,2,2,Semi-Furnished,Bangalore
12000,840,2,2,Semi-Furnished,Bangalore
25000,1050,2,2,Semi-Furnished,Bangalore
150000,3250,3,4,Furnished,Bangalore
10000,500,1,1,Unfurnished,Bangalore
8000,900,2,1,Semi-Furnished,Bangalore
40000,1300,2,2,Semi-Furnished,Bangalore
12000,600,2,1,Unfurnished,Bangalore
16000,900,2,1,Semi-Furnished,Bangalore
23000,1100,2,2,Semi-Furnished,Bangalore
25000,1100,2,2,Semi-Furnished,Bangalore
7000,600,1,1,Unfurnished,Bangalore
17500,1250,2,2,Unfurnished,Bangalore
10000,415,1,1,Semi-Furnished,Bangalore
39000,1200,3,3,Furnished,Bangalore
22000,1200,3,2,Unfurnished,Bangalore
18000,1000,2,2,Semi-Furnished,Bangalore
23000,1300,2,2,Furnished,Bangalore
20000,1150,2,2,Unfurnished,Bangalore
10000,450,1,1,Semi-Furnished,Bangalore
15000,600,1,1,Semi-Furnished,Bangalore
17000,1000,2,2,Semi-Furnished,Bangalore
56000,1900,3,3,Unfurnished,Bangalore
43000,1700,3,3,Semi-Furnished,Bangalore
25000,1100,2,2,Semi-Furnished,Bangalore
9000,500,1,1,Semi-Furnished,Bangalore
31000,1757,3,3,Semi-Furnished,Bangalore
6000,300,1,1,Semi-Furnished,Bangalore
5000,500,1,1,Semi-Furnished,Bangalore
16000,1200,2,2,Unfurnished,Bangalore
20000,800,1,1,Semi-Furnished,Bangalore
28000,1281,3,3,Semi-Furnished,Bangalore
18000,1450,2,2,Semi-Furnished,Bangalore
12000,600,1,1,Semi-Furnished,Bangalore
20000,980,2,2,Furnished,Bangalore
25000,1500,3,3,Semi-Furnished,Bangalore
35000,1800,3,3,Semi-Furnished,Bangalore
7000,400,1,1,Unfurnished,Bangalore
7500,600,1,1,Unfurnished,Bangalore
14000,1100,2,2,Semi-Furnished,Bangalore
20000,1100,2,2,Semi-Furnished,Bangalore
380000,3500,4,5,Semi-Furnished,Bangalore
21000,1100,2,2,Unfurnished,Bangalore
15000,700,2,2,Semi-Furnished,Bangalore
5500,600,1,1,Unfurnished,Bangalore
10000,700,2,2,Unfurnished,Bangalore
7000,250,1,1,Semi-Furnished,Bangalore
11500,1200,2,1,Semi-Furnished,Bangalore
22000,1450,3,3,Semi-Furnished,Bangalore
19000,1221,2,2,Unfurnished,Bangalore
15000,1250,2,2,Semi-Furnished,Bangalore
10500,700,2,1,Semi-Furnished,Bangalore
12000,700,2,2,Semi-Furnished,Bangalore
7000,200,1,1,Semi-Furnished,Bangalore
15000,1200,2,2,Semi-Furnished,Bangalore
23000,600,2,2,Semi-Furnished,Bangalore
6500,600,1,1,Semi-Furnished,Bangalore
29000,1800,3,3,Semi-Furnished,Bangalore
12000,900,2,2,Unfurnished,Bangalore
10000,1000,2,2,Semi-Furnished,Bangalore
12500,500,2,2,Semi-Furnished,Bangalore
32000,1800,3,3,Semi-Furnished,Bangalore
8000,416,1,1,Unfurnished,Bangalore
10500,600,2,1,Semi-Furnished,Bangalore
6000,400,1,1,Unfurnished,Bangalore
16000,1200,3,2,Semi-Furnished,Bangalore
45000,1600,3,3,Semi-Furnished,Bangalore
6000,500,1,1,Semi-Furnished,Bangalore
5000,500,1,1,Semi-Furnished,Bangalore
14000,1800,3,3,Semi-Furnished,Bangalore
20000,900,2,2,Furnished,Bangalore
11000,550,1,1,Semi-Furnished,Bangalore
5500,600,1,1,Unfurnished,Bangalore
55000,1800,3,3,Unfurnished,Bangalore
15000,976,2,1,Semi-Furnished,Bangalore
8500,350,1,1,Semi-Furnished,Bangalore
15000,1100,2,2,Semi-Furnished,Bangalore
12000,500,2,1,Unfurnished,Bangalore
7500,600,1,1,Semi-Furnished,Bangalore
16000,1100,2,2,Semi-Furnished,Bangalore
20000,1150,2,2,Furnished,Bangalore
14500,850,2,2,Semi-Furnished,Bangalore
6000,600,1,1,Semi-Furnished,Bangalore
14000,900,2,2,Semi-Furnished,Bangalore
7000,300,1,1,Semi-Furnished,Bangalore
27500,1130,2,2,Semi-Furnished,Bangalore
18000,1200,2,2,Unfurnished,Bangalore
10000,1000,2,2,Semi-Furnished,Bangalore
31000,1700,3,3,Furnished,Bangalore
15000,1100,2,2,Semi-Furnished,Bangalore
11000,300,1,1,Semi-Furnished,Bangalore
4500,600,1,1,Unfurnished,Bangalore
10000,1000,1,2,Semi-Furnished,Bangalore
10000,1200,2,2,Unfurnished,Bangalore
9000,500,1,1,Semi-Furnished,Bangalore
16000,1050,2,2,Semi-Furnished,Bangalore
5000,350,1,1,Unfurnished,Bangalore
10000,1000,2,2,Semi-Furnished,Bangalore
15000,600,1,1,Semi-Furnished,Bangalore
3500,150,1,1,Unfurnished,Bangalore
16000,1400,2,2,Furnished,Bangalore
17000,1387,2,3,Semi-Furnished,Bangalore
30000,1350,3,2,Furnished,Bangalore
12000,1020,2,2,Unfurnished,Bangalore
9000,600,1,1,Semi-Furnished,Bangalore
6000,400,1,1,Semi-Furnished,Bangalore
20000,550,1,1,Semi-Furnished,Bangalore
30000,1400,3,2,Furnished,Bangalore
20000,1050,2,2,Semi-Furnished,Bangalore
15000,800,2,2,Unfurnished,Bangalore
20000,1100,2,2,Unfurnished,Bangalore
25000,1500,3,2,Semi-Furnished,Bangalore
9000,800,1,1,Semi-Furnished,Bangalore
17000,800,2,1,Semi-Furnished,Bangalore
16500,1200,2,2,Semi-Furnished,Bangalore
7000,450,1,1,Unfurnished,Bangalore
30000,1425,3,2,Semi-Furnished,Bangalore
8500,720,2,2,Semi-Furnished,Bangalore
8000,700,1,1,Semi-Furnished,Bangalore
20000,1100,2,2,Semi-Furnished,Bangalore
30000,1645,3,3,Semi-Furnished,Bangalore
120000,3276,3,3,Semi-Furnished,Bangalore
7000,500,1,1,Unfurnished,Bangalore
10000,600,2,2,Furnished,Bangalore
5000,600,1,1,Semi-Furnished,Bangalore
30000,1893,3,4,Semi-Furnished,Bangalore
6500,450,1,1,Unfurnished,Bangalore
10000,650,1,1,Semi-Furnished,Bangalore
18000,400,1,1,Unfurnished,Bangalore
30000,1296,2,2,Semi-Furnished,Bangalore
20000,1000,2,2,Semi-Furnished,Bangalore
16500,600,1,1,Unfurnished,Bangalore
15000,600,1,1,Furnished,Bangalore
130000,4800,4,4,Semi-Furnished,Bangalore
15000,1000,2,1,Semi-Furnished,Bangalore
70000,800,1,1,Unfurnished,Bangalore
22000,455,1,1,Semi-Furnished,Bangalore
9750,575,2,2,Semi-Furnished,Bangalore
23000,1066,2,2,Unfurnished,Bangalore
12000,850,2,1,Semi-Furnished,Bangalore
60000,1550,3,3,Semi-Furnished,Bangalore
11000,1000,2,2,Semi-Furnished,Bangalore
12000,800,2,1,Semi-Furnished,Bangalore
11000,450,1,1,Semi-Furnished,Bangalore
19000,1350,2,2,Semi-Furnished,Bangalore
10000,1350,2,2,Semi-Furnished,Bangalore
7500,600,1,1,Semi-Furnished,Bangalore
55000,2150,3,3,Semi-Furnished,Bangalore
11000,1080,2,2,Semi-Furnished,Bangalore
50000,1450,3,3,Semi-Furnished,Bangalore
13500,700,2,2,Unfurnished,Bangalore
16500,1200,2,2,Semi-Furnished,Bangalore
120000,2110,3,3,Unfurnished,Bangalore
7000,500,1,1,Semi-Furnished,Bangalore
10000,850,2,1,Semi-Furnished,Bangalore
7000,400,1,1,Unfurnished,Bangalore
18000,800,1,1,Furnished,Bangalore
11000,600,1,1,Semi-Furnished,Bangalore
9000,450,1,1,Unfurnished,Bangalore
60000,2080,3,3,Semi-Furnished,Bangalore
